"Overview Product Code
PC Code","Unit
?","Overview of
Items","
HS Code"
1101,KG,"?FRUITS
?","08, 1106.30, 1212.99-91, 2001.90-11, 2001.90-21~-22, 2006~2007, 2008.11~2008.97, 2008.99-1, 2008.99-211~-216 , 2008.99-219~-227, 2008.99-231, 2008.99-234, 2008.99-236, 2008.99-25, 2009.11~2009.49, 2009.61~2009.81, 2009.89-1, 2009.89-9?2009.90-1 , 2009.90-9"
110101,MT,"?(Citrus fruits)
CITRUS FRUITS",805
1101011,KG,"
LEMONS ??AND LIMES","0805.50, 0805.90-02"
1101012,KG,"???Orange?
ORANGES",805.1
1101013,KG,"??GRAPEFRUITS
?",805.4
110103,MT,"?(Bananas (fresh)
)","0803.10-1, 0803.90-1"
110105,MT,"?(Chestnut)
CHESTNUTS",0802.41?0802.42
110108,KG,"?(Grapes)
GRAPES",806
1103,KG,"?Vegetables
?","07, 1105, 1106.10~1106.20, 1210, 1212.21, 1212.91~1212.94, 1212.99-1, 1212.99-99, 1903, 1905.90-314, 1905.90-323, 2001.10, 2001.90-12~-14, 2001.90-23~-29, 2002~2005, 2008.99-228, 2008.99-232, 2009.50, 2009.89-2 , 2009.90-2"
110301,MT,"?(Fresh or chilled vegetables)
VEGETABLS, FRESH OR CHILLED",0701?0709
110303,KG,"?(Frozen vegetables)
VEGETABLS, FROZEN","0710, 2004.10-1"
110305,MT,"?(Beans (dried))
BEANS, DRIED","0713.10-2 , 0713.20-02 , 0713.31~0713.32 , 0713.33-2 , 0713.34-2 , 0713.35-2 , 0713.39-2 , 0713.40-02 , 0713.50-2 , 0713.60-2 , 0713.90-2"
13,MT,"SUGAR
, SUGAR PREPARATION & HONEY","0409, 17, 2106.90-22?-23"
1301,MT,"?Sugar
?","1701, 1702.90-1, 1702.90-21"
130101,MT,"?(Brown sugar)
SUGAR, UNCENTRIFUGAL","1701.13, 1701.14-19"
130103,MT,"?(Raw sugar)
SUGAR CENTRIFUGAL","1701.12 , 1701.14-11 , 1701.14-2"
1303,MT,"?Molasses
?",1703
1305,MT,"?MILK
SUGAR",1702.11?1702.19
15,MT,"
Coffee, Tea, Cocoa & Spices","0901.11~0901.22, 0901.90-2, 0902~0910, 1801, 1803~1806, 2101"
1501,KG,"?Coffee
?","0901.11?0901.22, 0901.90-2, 2101.11, 2101.12-1"
150101,KG,"?(Coffee beans
)",0901.11?0901.12
150103,KG,"?(Instant coffee)
INSTANT COFFEE",2101.12-121
1503,KG,"?COCOA
?","1801, 1803?1805"
150301,KG,"?(Cacao beans)
CACAO BEANS",1801
150303,KG,"
(Cacao butter ?)",1804
1505,MT,"?Tea
?",902
150501,KG,"?(Black Tea)
BLACK TEA","0902.30-01, 0902.40-21"
150503,KG,"?(
Green Tea )","0902.10, 0902.20-2"
150505,KG,"?(Other tea)
OTHER TEA","0902.30-09, 0902.40-22"
17,MT,"FEEDING
-STUFF FOR ANIMALS","0901.90-1 , 1213-1214 , 1802 , 2102.20-2 , 23"
1701,MT,"?Bran
WHEAT BEANS",2302.3
1703,MT,"?OIL
-SEEDS CAKE AND MEAL",2304?2306
1705,MT,"
FISH ?FLOURS, MEALS AND PELLETS",2301.2
19,,"OTHER FOOD
PREPARATION","1517 , 1601.00-1 , 1602.10-1 , 1602.90-26 , 1603.00-09 , 1901.10 , 1901.90-13 , 1901.90-21~-22 , 2008.99-217 , 2008.99-233 , 2008.99-235 , 2008.99-239 , 2008.99-26 , 2102.10 , 2102.20-1 , 2102.30~2106.10 , 2106.90-1 , 2106.90-21 , 2106.90-24?-29 , 2106.90-3?-5 , 2209 , 2404.91"
1,,"BEVARAGES AND
TOBACCO","2201~2206, 2208, 2401~2403, 2404.11, 2404.19-1"
101,KL,"BEVARAGES
?","2201?2206, 2208"
10101,L,"?ALCOHOLIC
BEVARAGES","2203, 2204.10~2204.29, 2204.30-2, 2205.10, 2205.90-2, 2206.00-2, 2208.20~2208.70, 2208.90-1, 2208.90-22, 2208.90-24"
1010101,L,"?(Steamed sake)
DISTILLED ALCOHLIC BEVA'GE","2208.20?2208.70, 2208.90-1, 2208.90-22, 2208.90-24"
10101011,L,"???Whiskey?
WISKY",2208.3
10101012,L,"??BRANDY
?","2208.20, 2208.90-11"
1010103,L,"?(Wine
)","2204.10?2204.29, 2204.30-2, 2205.10, 2205.90-2"
1010105,L,"?(Beer)
BEER",2203
103,,"Tobacco
?","2401?2403, 2404.11, 2404.19-1"
10301,KG,"?TOBACCO
, UNMANUFACTURED",2401
10303,,"?TOBACCO
,MANUFACTURED","2402?2403 , 2404.11 , 2404.19-1"
1030301,T.H.,"?(Cigarettes)
CIGARETTES",2402.2
2,,"
CRUDE MATERIALS","05~06, 1201~1209, 1211, 1212.29, 13~14, 2501~2518, 2519.10, 2519.90-01, 2520.10, 2521, 2524~2530, 26, 2714, 4001~4004, 4101~4103, 4115.20, 4301, 4401.11~4401.12, 4401.31~4401.49, 4402~4409, 4501~4502, 47, 5001?5003, 5101~5105, 5201~5203, 5301~5305, 5501~5507, 6309~6310, 7019.12, 7102.10~7102.29, 7105, 7112.30, 7112.92~7112.99, 7204.10~7204.49, 7401, 7404, 7501, 7503, 7602, 7802, 7902, 7903.10, 8002, 8104.20"
201,MT,"Hides and furs (unfinished)
Hide, Skins and Fur Skins","4101?4103, 4115.20, 4301"
20101,MT,"?Hide
and Skins, Undressed","4101?4103, 4115.20"
2010101,MT,"?(Cowhide)
CATTLE HIDES AND SKINS",4101.50-112
2010103,MT,"?(Calf skin)
CALF SKINS AND KIP SKINS",4101.20-112
2010105,MT,"
( Skins of crocodiles ?, lizards, snakes, and deer)","4103.20-01?-03, 4103.90-01"
20103,KG,"?Fur
SKINS,UNDRESSED",4301
203,MT,"
SEEDS, NUTS, KERNELS FOR OIL",1201 to 1208
20301,MT,"?Peanuts
GROUND-NUTS",1202
20303,MT,"?Copra
?",1203
20307,MT,"?SOY
BEANS",1201
20309,MT,"?Other oil seeds
OIL-SEEDS NES","1204?1206, 1207.21?1207.99, 1208"
2030901,MT,"?(Flax seeds)
LINSEEDS",1204
2030903,MT,"?(
Cotton Seed )",1207.21?1207.29
2030907,MT,"?(rapeseed)
RAPE SEED",1205
2030909,MT,"?(Sesame)
SESAME SEED",1207.4
2030911,MT,"?(Safflower seeds)
SAFFLOWER SEED",1207.6
205,MT,"
Crude Rubber",4001 to 4004
20501,MT,"
NATURAL ?RUBBER",4001.21?4001.29
20503,MT,"
Natural ?rubber latex","4001.10, 4002.80"
20505,MT,"?SYNTHETIC
RUBBER","4002.11?4002.70, 4002.91?4002.99"
2050501,MT,"
( Synthetic ?rubber latex)","4002.11 , 4002.41 , 4002.51 , 4002.91"
2050505,MT,"?(Other synthetic rubber)
CHLOROPRENE RUB","4002.19?4002.39, 4002.49, 4002.59?4002.70, 4002.99"
20505051,MT,"??CHLOROPRENE
RUBBER",4002.49
20505052,MT,"??BUTYL
RUBBER",4002.31
20505053,MT,"???Nitrile butadiene rubber?
NITRIL-BUTADIENE RUBBER",4002.59
207,,"WOOD
, LUMBER AND CORK","4401.11~4401.12, 4401.31~4401.49, 4402~4409, 4501~4502"
20701,,"?WOOD
?","4403?4404 , 4406?4409"
2070101,CM,"?(Coniferous log)
CONIFEROUS IN THE ROUGH","4403.11, 4403.21?4403.26"
20701015,CM,"??PSEUDOTSUGA
?","4403.25-5, 4403.26-5"
20701016,CM,"??ABIES AND
PICEA",4403.23?4403.24
2070103,CM,"?(Other logs)
WOOD IN THE ROUGH, OTHER","4403.12 , 4403.42 , 4403.49-211 , 4403.49-29 , 4403.49-3 , 4403.91 to 4403.98 , 4403.99-9"
2070105,,"?(Lumber)
WOOD, SHAPED OR SIMPLY WORK",4406 to 4409
20701052,CM,"???Cypress?
WHITE CEDER, YELLOW CEDER","4407.19-911, 4407.19-991"
20701053,CM,"??Tsuga
?","4407.19-31 , 4407.19-912 , 4407.19-992"
20701055,CM,"??ABIES AND
PICEA",4407.12
2070107,CM,"?LAUANS
AND APITONS",4403.49-1
209,MT,"
Pulp and recycled paper",47
20901,MT,"?PULP
?",4701 to 4706
2090101,MT,"?(Dissolving pulp)
CHEMICAL WOOD PURP",4702
2090103,MT,"?(Paper pulp
)","4701, 4703~4705, 4706.20~4706.93"
211,MT,"Textile fibers
, their waste","1404.20, 5001~5003, 5101~5105, 5201~5203, 5301~5305, 5501~5507, 6309~6310, 7019.12"
21101,KG,"?Silk
?",5001 to 5003
2110101,KG,"?(Raw Silk)
RAW SILK",5002
21103,MT,"?SHEEP
'S AND RAMBS' WOOL","5101, 5105.10?5105.29"
2110301,KG,"?(raw wool)
SHEEP'S WOOL,GREASY",5101.11?5101.19
2110303,MT,"?(washed wool)
SHEEP'S WOOL,DEGREASY",5101.21?5101.30
21105,MT,"
FINE ANIMAL ?HAIR",5102.11?5102.19
21107,MT,"
ANIMAL HAIR, CARDED- ?COMBED",5105.31?5105.40
21109,MT,"?Cotton
?","1404.20, 5201?5203"
2110901,MT,"?(Seed cotton)
RAW COTTON,GINNED",5201
2110903,MT,"?COTTON
LINTERS",1404.2
2110905,MT,"?(Cut
cotton )",5202
21111,MT,"?Hemp (including waste)
JUTE, FLAX AND RAMIE",5301?5303
2111103,MT,"?(Flax)
FLAX",5301
213,MT,"Crude
Minerals, Minerals","2501~2518, 2519.10, 2519.90-01, 2520.10, 2521, 2524~2530, 2618~2619, 2621, 2714, 7102.10~7102.29, 7105"
21301,MT,"
PHOSPHATE ?ROCK",2510
21303,MT,"?Crude Minerals (removed phosphate rock
)","2501~2509, 2511~2518, 2519.10, 2519.90-01, 2520.10, 2521, 2524~2530, 2618~2619, 2621, 2714, 7102.10?7102.29, 7105"
2130301,MT,"?(Stones and sand)
STONE, SAND GRAVEL","2505 , 2514?2517 , 2520.10 , 2521"
21303011,MT,"??MARBLE
?",2515.11?2515.12
21303013,MT,"???Quartz Sand?
NATURAL QUARTS SAND",2505.1
2130303,GR,"?(Industrial Diamonds
)","7102.10?7102.29 , 7105.10"
2130305,MT,"?(Natural graphite and kaolin, etc.
)","2504, 2507?2508, 2518, 2519.10"
2130307,MT,"
( Salt ?)",2501
2130309,MT,"?(Asbestos
)",2524
2130311,MT,"?(Mica
)",2525
2130313,MT,"?(Fluorescent stone)
FLUORSPAR",2529.21?2529.22
215,MT,"METALLIFEROUS ORES
& SCRAP","2601~2617, 2620, 7112.30, 7112.92~7112.99, 7204.10~7204.49, 7401, 7404, 7501, 7503, 7602, 7802, 7902, 7903.10, 8002, 8104.20"
21501,MT,"?IRON
ORE AND CONCENTRATES",2601
21503,MT,"?IRON
AND STEEL SCRAP",7204.10?7204.49
21505,MT,"?ORE
OF NONFERROUS","2602?2617, 7401, 7501"
2150501,MT,"?COPPER
?",2603
2150503,MT,"?(nickel ore)
NICKEL",2604
2150507,MT,"?(Lead ore)
LEAD",2607
2150509,MT,"?(Zinc ore)
ZINC",2608
2150511,MT,"?(Manganese Ore
)",2602
2150513,MT,"
( Chromium ?ore)",2610
2150517,MT,"?(Molybdenum ore)
MOLYBDENITE",2613
2150519,MT,"?(Titanium ore)
TITANIUM",2614
2150521,MT,"?(Antimony
)",2617.1
2150523,MT,"?(Aluminium ore)
ALMINIUM",2606
2150525,MT,"?(Tin ore)
TIN",2609
21507,MT,"?Non-ferrous base
metal scrap","2620, 7404, 7503, 7602, 7802, 7902, 7903.10, 8002, 8104.20"
2150701,MT,"
ASH AND ?RESIDUES",2620
2150703,MT,"?COPPER
WASTE AND SCRAP",7404.00-01
2150705,MT,"
(Brass and bronze waste ?)",7404.00-091
2150707,MT,"
(Aluminum waste and ?scrap)",7602
217,,"Other animal and plant raw materials
CRUDE MATERIALS","05?06, 1209, 1211, 1212.29, 13, 1401, 1404.90"
21701,MT,"
CRUDE ?ANIMAL MATERIALS","0501?0510, 0511.10?0511.91, 0511.99-11, 0511.99-19, 0511.99-2?-9"
2170103,MT,"
(GUTS OF ?ANIMALS)",0504.00-01
21703,,"?CRUDE
VEGETABLE MATERIALS","06, 1209, 1211, 1212.29, 13, 1401, 1404.90"
2170301,MT,"?(Seeds, fruits and spores for propagation)
SEEDS FOR PLANTING",1209
2170303,MT,"?(Tengusa)
<TENGUSA>",1212.29-211
3,,"
MINERAL FUELS","2701~2705, 2708~2713, 2715, 3403.11~3403.19"
301,MT,"COAL, COAK AND
BRIQUETTES",2701?2704
30101,MT,"?Coal
?",2701.11?2701.19
3010101,MT,"?(Anthracite)
ANTHETIC COAL",2701.11
3010103,MT,"?(coking coal)
COAL OF COKING","2701.12-01 , 2701.12-091?-092"
30101031,MT,"???Highly coking coal?
HEAVY COKING COAL","2701.12-011, 2701.12-091"
30101032,MT,"??Other Coal for
Coke","2701.12-019, 2701.12-092"
3010105,MT,"?(steam coal)
COAL NES","2701.12-099, 2701.19"
303,,"PETROLEUM AND
THEIR PRODUCTS","2708?2710, 2712?2713, 2715, 3403.11?3403.19"
30301,KL,"?Crude and crude
oilPETROLEUM","2709 , 2710.19-162 , 2710.19-164 , 2710.19-166 , 2710.19-169 , 2710.19-172 , 2710.19-174 , 2710.19-179 , 2710.20-162 , 2710.20-164 , 2710.20-166 , 2710.20-169 , 2710.20-172 , 2710.20-174 , 2710.20-179"
30303,,"
PETROLEUM ?PRODUCTS","2708 , 2710.12 , 2710.19-14~-159 , 2710.19-161 , 2710.19-163 , 2710.19-165 , 2710.19-167 , 2710.19-171 , 2710.19-173 , 2710.19-175 , 2710.19-18 to 2710.20-15 , 2710.20-161 , 2710.20-163 , 2710.20-165 , 2710.20-167 , 2710.20-171 , 2710.20-173, 2710.20-175, 2710.20-18~-19, 2710.20-2, 2712~2713, 2715, 3403.11~3403.19"
3030301,KL,"
PETROLEUM ?SPIRITS","2710.12-11~-13, 2710.12-18, 2710.20-11~-13, 2710.20-181"
3030303,KL,"
( Kerosene ?(including jet fuel oil))","2710.12-14 , 2710.19-14 , 2710.20-14"
3030305,KL,"?(Light Oil)
GAS OILS","2710.12-15 , 2710.19-15 , 2710.20-15"
3030307,KL,"?(Heavy oil)
HEAVY FUEL OILS","2710.19-161 , 2710.19-163 , 2710.19-165 , 2710.19-167 , 2710.19-171 , 2710.19-173 , 2710.19-175 , 2710.20-161 , 2710.20-163 , 2710.20-165 , 2710.20-167 , 2710.20-171 , 2710.20-173 , 2710.20-175"
3030309,KG,"
( Lubricating ?Oils and Greases)","2710.12-9, 2710.19-18~-19, 2710.19-2, 2710.20-188, 2710.20-19, 2710.20-2, 3403.11~3403.19"
3030311,MT,"?(Petroleum coke
)",2713.11?2713.12
305,MT,"GAS
, NATURAL & MANUFACTURED","2705, 2711"
30501,MT,"?PETROLEUM
GAS",2711
3050101,MT,"
( Liquefied ?Petroleum Gas)","2711.12?2711.13, 2711.14-02?2711.19-01"
3050103,MT,"
(Liquefied Natural ?Gas)",2711.11
4,MT,"
ANIMAL & VEGETABL OIL, FAT","0209 , 1501~1516 , 1518 , 1521~1522 , 3823"
401,MT,"ANIMAL OIL
, FAT","0209 , 1501?1506 , 1522.00-1"
40101,MT,"?BEEF
TALLOW","1502.10-01, 1502.90-01"
403,MT,"VEGETABLES
OIL,FAT","1507~1514, 1515.11~1515.60, 1515.90-1~-2, 1515.90-4~-5"
40301,MT,"?Cotton
seed oil",1512.21?1512.29
40303,MT,"
Palm ?oil",1511
40305,MT,"
Tung ?oil",1515.90-11
405,MT,"PROCESSED
OILS & FATS, WAX","1515.90-3 , 1515.90-6 , 1516 , 1518 , 1521 , 1522.00-2 , 3823"
40501,MT,"?Wax
?","1515.90-3, 1515.90-6, 1521"
5,,"CHEMICALS
?","1108~1109, 1520, 2207, 2404.12, 2404.19-2, 2404.92~2404.99, 2706~2707, 28~31, 3201~3214, 3215.11~3215.19, 33, 3401~3402, 3403.91~3403.99, 3404~3405, 3407, 35~36, 3801~3815, 3817~3822, 3824~3921"
501,,"CHEMICAL ELEMENTS
, COMPOUNDS","1520 , 2207 , 2801~2850 , 2852.10-1~-2 , 2852.10-99 , 2852.90 , 2853~2935 , 2940 , 2942"
50101,,"?ORGANIC
CHEMICALS","1520, 2207, 2852.10-99, 2852.90-2, 2901-2935, 2940, 2942"
5010101,KG,"?(XYLENE
)",2902.41?2902.44
50103,MT,"?INORGANIC
CHEMICALS","2801~2843, 2847~2850, 2852.10-2, 2852.90-1, 2853"
50105,GR,"?RADIOACTIVE
ELEMENTS","2844.10?2844.20, 2844.41?2844.50"
503,MT,"MINERAL
TAR, CRUDE CHEMICAL",2706?2707
50301,MT,"
Benzene ?(crude)",2707.1
50303,MT,"?XYLENE
, CRUDE",2707.3
505,KG,"
Dyes, tanning agents and coloring agents","2852.10-91, 3201~3214, 3215.11~3215.19"
50501,KG,"
SYNTHETIC ?ORGANIC DYESTUFF",3204?3205
5050101,KG,"?(Acid dyes
)",3204.12
5050103,KG,"?(dispersible dye)
DISPERSED DYES",3204.11
5050105,KG,"?(Reactive dyes
)",3204.16
50503,KG,"?Vegetable tanning
extracts","2852.10-91, 3201"
5050301,KG,"?WATTLE
EXTRACT",3201.2
50505,KG,"?PREPARED
PAINTS",3207?3214
507,KG,"MEDICAL
PRODUCTS","2936-2939, 2941, 3001-3005, 3006.10-3006.60, 3006.91-3006.93, 3822.11-3822.19"
50701,KG,"?Provitamins and Vitamins
PROVITAMINE",2936
50703,GR,"?ANTIBIOTICS
?",2941
50705,KG,"?HORMONES
?",2937
50707,KG,"?Antibiotic
preparations","3003.10?3003.20, 3004.10?3004.20"
509,MT,"Essential oils, fragrances and cosmetics
ESSENTIAL OILS AND PERFUME","33, 3401-3402, 3405"
50901,MT,"
Essential ?Oils and Resinoids",3301.12?3301.30
50903,MT,"?SYNTHETIC
PERFUME","3301.90 , 3302"
511,MT,"FERTILIZERS
?",31
51101,MT,"
Potassium ?fertilizers",3104
5110101,MT,"?(
Potassium chloride )",3104.2
5110103,MT,"?(Potassium Sulfate
)",3104.3
513,MT,"EXPLOSIVE
& PYROTECNIC",36
515,MT,"Plastics
?",3901 to 3921
51501,MT,"?Silicones
?",3910
51503,MT,"?POLYVINYL
PREPARATION","3904.10?3904.30, 3915.30, 3916.20, 3917.23, 3917.32-02, 3917.39-01, 3918.10, 3919.10-02, 3919.90-03, 3920.43?3920.49, 3921.12, 3921.90-03"
51505,MT,"?Polyethylene
?","3901.10~3901.20, 3915.10, 3916.10, 3917.21, 3917.32-01, 3919.90-01, 3920.10, 3921.19-01, 3921.90-01"
51507,MT,"?Polystyrene
?","3903.11?3903.19, 3914.00-01, 3920.30, 3921.11"
51509,MT,"?SYNTHETIC
RESINS","3901.30~3901.90, 3902, 3903.20~3903.90, 3904.40~3904.90, 3905~3906, 3917.22, 3919.10-01, 3919.10-09, 3919.90-05?-09, 3920.20, 3921.90-02"
517,MT,"Other Chemical
Products","1108~1109, 2404.12, 2404.19-2, 2404.92~2404.99, 2852.10-92, 3006.70, 3403.91~3403.99, 3404, 3407, 35, 3801~3815, 3817~3821, 3822.90, 3824, 3825.10~3825.20, 3825.41~3825.90, 3826~3827"
51701,MT,"?Disinfectants, insecticides and
fungicides",3808
51703,MT,"?Starch
?",1108.11?1108.19
51705,MT,"?Casein
?",3501.1
51707,MT,"?ROSIN
?",3806.1
51709,MT,"?PREPARED ADDITIVES
FOR OIL",3811
51711,MT,"?CATALYSTS
?","3815.11~3815.19, 3815.90-1~-200, 3815.90-31"
6,,"
MANUFACTURED GOODS","2519.90-09, 2520.20, 2522~2523, 3816, 4005~4014, 4016~4017, 4104~4114, 4115.10, 4201, 4205, 4302, 4401.21~4401.22, 4410~4421, 4503~4504, 48, 5004~5007, 5106~5113, 5204~5212, 5306~5311, 54, 5508~5516, 56~60 , 6301?6308 , 6501~6502, 68~69, 7001~7018, 7019.11, 7019.13~7019.90, 7020~7101, 7102.31~7102.39, 7103~7104, 7106~7107, 7110~7111, 7201~7203, 7204.50, 7205~7229, 73, 7402~7403, 7405~7419, 7502, 7504~7601, 7603~7801, 7804~7901, 7903.90, 7904~8001, 8003~8103, 8104.11~8104.19, 8104.30~8104.90, 8105~8303, 8306~8311"
601,KG,"Leather and related products, fur
LEATHER, DRESSED FUR SKINS","4104?4114, 4115.10, 4201, 4205, 4302"
60101,KG,"?SHEEP
SKIN LEATHER","4105, 4112"
603,MT,"RUBBER
MANUFACTURED","4005~4014, 4016~4017, 5604"
60301,MT,"
Rubber ?processing materials","4005?4009, 5604"
605,,"Wood and cork products (excluding furniture)
WOOD & CORK MANUFACTURED","4401.21~4401.22, 4410~4421, 4503~4504"
60501,,"
Plywood and ?wood panels","4412, 4420.90-01"
6050101,,"?(Plywood)
PLYWOOD",4412
60503,MT,"?PURPWOOD
AND THE LIKE","4401.21?4401.22, 4411"
6050301,MT,"?(Wood chips)
WOOD CHIP",4401.21?4401.22
60505,KG,"?Wooden fittings and architectural woodwork
WOODEN MANUFACTURED",4418
607,MT,"Paper and related products
PAPER & PAPER MANUFACTURES",48
60701,MT,"?PAPER AND
PAPERBOARD","4801?4812, 4814"
609,,"
Textile yarn and fabrics","5004~5007, 5106~5113, 5204~5212, 5306~5311, 54, 5508~5603, 5605~5609, 57~60, 6301~6308, 6501~6502, 7019.13 , 7019.61?7019.73"
60901,KG,"?TEXTILE YARN
AND THERED","5004~5006, 5106~5110, 5204~5207, 5306~5308, 5401~5406, 5508~5511"
6090101,KG,"?(Silk thread)
YARN OF SILK","5004-5006 , 5401.20-01 , 5403.10-01 , 5403.31-1 , 5403.32-1 , 5403.33-01 , 5403.39-01 , 5403.41-1 , 5403.42-01 , 5403.49-01"
6090103,KG,"?(Cotton thread)
YARN & TEREAD OF COTTON",5204?5207
6090105,KG,"?YARN OF SYNTHETIC
FABRICS","5401.10, 5402, 5404, 5406, 5508.10, 5509, 5511.10?5511.20"
60901051,KG,"???10% or more silk?
INCLUDE SILK","5401.10-01 , 5402.19-1 , 5402.20-01 , 5402.31-01 , 5402.32-01 , 5402.33-01 , 5402.34-1 , 5402.39-01 , 5402.44-1 , 5402.45-1 , 5402.46-1 , 5402.47-1 , 5402.48-1 , 5402.49-01 , 5402.51-01 , 5402.52-01 , 5402.53-01 , 5402.59-01 , 5402.61-01 , 5402.62-01 , 5402.63-01 , 5402.69-01"
60903,S.M.,"?COTTON FABRICS
, WOVEN","5208~5212, 5801.21~5801.27, 5802.10, 5803.00-1"
6090301,S.M.,"?(Cotton fabrics (silk 10% or more))
INCLUDE SILK","5208?5212, 5801.21-1, 5801.22-02, 5801.23-02, 5801.26-1, 5801.26-22, 5801.27-02, 5802.10, 5803.00-1"
60905,S.M.,"?Wool Fabrics
, Woven","5111?5113, 5801.10"
6090501,S.M.,"?(Wool fabrics (10% or more silk))
INCLUDE SILK","5111.11 , 5111.19-02 , 5111.20-02 , 5111.30-02 , 5111.90-02 , 5112.11 , 5112.19-02 , 5112.20-02 , 5112.30-02 , 5112.90-02 , 5801.10"
